,title,price,in_stock,image_url,href
68,Corsair iCUE SP140 RGB PRO Performance 140mm Fan CO-9050095-WW,119,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/22426/image_256?ts=1698203884,https://www.pcbyte.com.my/p/corsair-icue-sp140-rgb-pro-performance-140mm-fan-co-9050095-ww-22426
69,Thermalright AXP-90-X47 Black Low Profile CPU Cooler (LGA1700 Ready),139,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/424776/image_256?ts=1682001142,https://www.pcbyte.com.my/p/thermalright-axp-90-x47-black-low-profile-cpu-cooler-lga1700-ready-424776
70,Thermal Grizzly Kryonaut Thermal Paste 1g  TG-K-001-RS,28,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/17562/image_256?ts=1678951894,https://www.pcbyte.com.my/p/thermal-grizzly-kryonaut-thermal-paste-1g-tg-k-001-rs-17562
71,PNY XLR8 RGB DDR4 3200MHZ 8GB (1x8) Desktop Memory MD8GD4320016XRGB,116,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/24210/image_256?ts=1691371102,https://www.pcbyte.com.my/p/pny-xlr8-rgb-ddr4-3200mhz-8gb-1x8-desktop-memory-md8gd4320016xrgb-24210
72,Bitfenix Spectre Pro White LED 140mm 1200RPM Case Fan BFF-LPRO-14025W-RP,9.90,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/872/image_256?ts=1699514425,https://www.pcbyte.com.my/p/bitfenix-spectre-pro-white-led-140mm-1200rpm-case-fan-bff-lpro-14025w-rp-872
73,Cooler Master MasterAir MA624 Stealth CPU Cooler MAM-D6PS-314PK-R1,384,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/236185/image_256?ts=1695631252,https://www.pcbyte.com.my/p/cooler-master-masterair-ma624-stealth-cpu-cooler-mam-d6ps-314pk-r1-236185
74,Cooler Master MasterBox TD500 ARGB Mesh ATX Case Black TG MCB-D500D-KGNN-S01,369,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/19706/image_256?ts=1695631252,https://www.pcbyte.com.my/p/cooler-master-masterbox-td500-argb-mesh-atx-case-black-tg-mcb-d500d-kgnn-s01-19706
75,Cooler Master MasterCase H500P ARGB Mesh Mid Tower ATX Case Black TG MCM-H500P-MGNN-S11,559,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/22309/image_256?ts=1695631252,https://www.pcbyte.com.my/p/cooler-master-mastercase-h500p-argb-mesh-mid-tower-atx-case-black-tg-mcm-h500p-mgnn-s11-22309
76,Cooler Master V650 Gold V2 Gold Full Modular Power Supply-White edition,422,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/25235/image_256?ts=1683795168,https://www.pcbyte.com.my/p/cooler-master-v650-gold-v2-gold-full-modular-power-supply-white-edition-25235
77,Invasion Arctic Trio 360mm RGB CPU Liquid Cooler,248,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/310973/image_256?ts=1673246401,https://www.pcbyte.com.my/p/invasion-arctic-trio-360mm-rgb-cpu-liquid-cooler-310973
